Horas Jogadas,Idioma,Review,Recomendado,Votos Úteis,Data da Review
505,brazilian,"This game is such an incredible experience, the story is spectacular and intriguing, the gameplay is really fun and can be challenging at times. The only sad part is that I really wanted to play more, the game is a little short. That being said the game is really creative and unlike anything i've seen before (pun intended) and  I highly recommend it if you like great stories and trying out new things.",TRUE,2,2022-01-02 02:24:12
862,brazilian,"O jogo é um ótimo ponto de partida para o que um jogo deve ser.Inclusivo, acessível, e, a cima de tudo com uma história extremamente profunda que prende quem o joga pela primeira vez, ou mesmo pela nézima.O que eu creio, e de fato o jogo seguiu esse padrão, é que existe sim uma interação com o cenário que rodeia a Alex, nossa heroína, porém eu creio que deveria haver um pouco mais de cenário, um pouco mais de side quests, um pouco mais de segredos.Isso é o que falta para que o universo de the vale, shadows of the croun, possua mais horas de jogatina arrazadoramente emocionante, e esperemos que os desenvolvedores estejam trabalhando em uma nova continuação do mesmo, pois as forças das sombras que neste primeiro capítulo de uma história com um potencial para seguir mais e mais com mais aventuras que prendem e transformam almas estão à espreita, prontas pra destruir quem não lhes serve ao propósito.No mais, minhas congratulações, um jogo simplesmente divino!",TRUE,1,2023-03-26 07:24:00
2638,brazilian,"Jogo incrível! 
O combate por áudio é perfeito, o som espacial funciona super bem e o jogo ainda conta com uma ótima história. 
Os diálogos são bem escritos e a dublagem é ótima também. 
Uma experiência bem diferente que eu gostei bastante.",TRUE,0,2022-04-17 04:26:42
295,brazilian,Uma experiência incrível!,TRUE,1,2022-06-29 14:44:50
14252,english,"I purchased this game for my blind daughter to try.  It's very difficult to find audio based games for her, and she is tremendously jealous of her sighted brother as he loves to play video games (as I do!).  I loaded up the game for her, and let her play.  It is 100% accessible from the first menu through the end of the game.  She was completely engaged in both the story and gameplay, and didn't want to stop playing.  Between play sessions, she told us about the characters and what was going on, and she was excited about it.  It took her 8 hours of game time to complete the game, and I'm sure she will go through it again, as she didn't want it to end.  Thanks to the developers for the quality experience, and I hope you think about a sequel or more games like this one!",TRUE,691,2022-05-24 02:50:24
127,english,"Played and streamed it for nearly two hours, it's really addictive. I'm severally blind and i can't wait to get back on and play more. A great step in the right direction for accessibility for all.just the descriptions and surround sound alone make the scenes come alive. Visually impaired or not, you'd enjoy this game.",TRUE,123,2021-08-19 22:01:33
15,english,"[b]First: [/b]
Play with a good headset and close your eyes. The immersion and game experience will be far better than with open eyes and normal loudspeakers.

[b]Now to the game itself:[/b]
This is a very unique game, since you experience the whole game from the eyes of a blind woman, meaning you won't see anything. So you will rely on your hearing and orientate and fight through audio cues. The cast delivers an awesome job in bringing the characters to life and I always wanted to know how the story continues. While this game won't be for everyone, I had 6 hours of fun (time didnt count in steam somehow) and can attest, that not only blind gamers will like this one.

For the negative points: I played the game in 30 minutes bursts, because after that time I had to pause. I'm not used to keeping my eyes closed all the time and the additional mental load on my brain for navigating all the time just by ears was tiring me. As a seeing person, I also had bigger problems of navigating by ear and making a mental map of the areas. I nearly always just walked directly towards the audio source, but couldn`t  learn the layout of the areas. But those points didn`t diminish the fun I had, so I would advice you to try this game out. If it's not for you, you can always return it.",TRUE,39,2022-04-25 17:54:25
575,english,"It’s like Kingdom Come Deliverance if Henry was blind.

I like to think that behind the black screen and floating dots, there's actually an in-game engine with amazing graphics

This is one of the best video games I've ever played, and I finished it with my eyes closed. The Vale is an audio-based game that is best played with headphones. The only graphics are floating colored spheres that don't help you so you might as well just close your eyes. But this is not just a glorified audio book. It's an actual game. 

The game uses audio cues and directional sound to direct you to attack and block in one of three directions. It sounds simple but the combat actually gets more complex as it unfolds with hunting with bows and arrow, a little magic, parrying, heavy attacks, interrupting attacks, etc. It was just so cool to close your eyes and listen to the direction of the enemies and block and attack. It was so incredibly unique. The audio aspect gave me some Hellblade vibes.  I chose to play on the hardest difficulty. It was challenging at times but totally fair and it made the combat and the game even more immersive.

You play as a blind female protagonist who is led by a guide in a fantasy realm where enemies are after her. The devs created an incredible female protagonist and it was really cool to have no video as it put you in the shoes of the protagonist as she is blind and can only respond to the sounds of her environment as well. It was a massive step up in terms of immersion. 

The main story and voice acting were really high quality and I really enjoyed how it all unfolded at the end. The entirely verbal story felt surprisingly intimate. It was an all-around beautiful experience. There are even side quests in the game that had a unique way of being unlocked and played. You follow sounds in a town square, are prompted later to press a button to start the quest, and then you travel to a self contained area to complete the quest. 

You might be traveling and come across an inn with shops nearby. You’ll hear the sound of sword smiths working on swords, the banging of steel. Walk towards that if you wanna buy and sell gear there. You might hear chickens in the distance which will tell you it’s a spot you can buy food and stuff. You can go inside inns and take on side quests. I had one quest where you had to find treasure behind a waterfall. Well you and your companion search for said waterfall and you’ll hear it in the distance. 

The game is also fully accessible to visually impaired as all the menus are voiced like the inventory menu. It's a pretty great thing that someone who is visually impaired cannot only relate to the protagonist but can also fully play a video game.

I feel like a lot of people write it off pretty quick because you’re blind in game and see nothing, but it’s so much more than that. The story is good. It’s an RPG at heart. The combat is actually engaging and makes you focus and listen carefully. I never had a game tell you and show you so much without having anything on screen. 

It was such a unique experience to, well, experience something simply by only sounds. I had to pay attention to the things I would normally not even notice consciously.  It was definitely weird at first, I was totally looking for visualy but got used to it after a bit. I loved the ending too, I somehow did not expect that. 

I have to say, that even despite the negatives and the drawbacks outlined by some, I think this game deserves a standing ovation for really trying something new and being very innovative, and I sincerely hope more of this type of thing becomes a thing. While I'm not blind, nor do I know anyone who is (that would be likely to play video games), I just love that this was made.

Don't let this gem pass you by. It's an incredibly unique twist on video games the likes you’ve probably never experienced before. Probably the easiest 10 I have ever given because it was so unique and immersive.

Seeing the average reviews on by people who never gave it a chance though, no wonder the triple A gaming industry is in such a sh*t place right now. For these people if it isn't the new yearly Call of Duty or FIFA shovelware, it's trash.

10/10",TRUE,56,2024-06-21 14:05:16
1495,english,"Definitely play with headphones.

I use corrective lenses, contacts and glasses.  When I take them off, I cannot see any words on my computer screen, have limited depth perception, and cannot tell objects apart unless their colours are dynamically distinct from their surroundings, I played and streamed a bit of this without any corrective lenses and it felt absolutely wonderful.  Worn glasses since 8 years old with gradually deteriorating eyesight ever since.  So corrective lenses have always been my normal, but when I played this game, even streamed it, I was comfortable and entirely engaged.  Even the little ""stars"" (just dots but to me they looked like stars) of colours that I could see without my lenses were a pleasant touch because they gave me to option to see something if I wanted to.  To rely on hearing more was so satisfying for the combat and is an aspect that is easy to take for granted in just about every other game.  I remember telling my friend when he was playing a jump rope challenge FFIX to closes his eyes and listen for the sound cue because that would be more accurate than his vision.  We enjoy sound in stereo for movies and audio books and tv shows, why not for games too?  

The story is very engaging and the voice actors they found for it we very well done.  I forgot I was streaming while I played this game. Even the voice for the menu screens was pleasant and didn't sound out of place with the dynamic of the story so I could remain in the story world even when I had to bring up stats menu or main menu screens.

I was not expecting the quests I got.  It made the world in which the story takes place come alive as not all of them are part of the main story.  It would have been just fine if the developers just made a story and had you just play that as a nice adventure tale.  But they took time to make a world with people who have wants, needs, greed, desires, all walks of life and the actors add many details that helped all of that build and come together in my mind's eye.

What's the most satisfying feeling for me, though? I get sick usually playing first person games.  The camera motions make me queasy.  This is the first game I have been able to say I can play first person. And honestly, that's enough to make me cry for joy.

So, yes, get this game, Try this game...but most of all, tell people that this game and this developer exists.",TRUE,43,2021-09-30 17:23:59
848,english,"This graphics-less “audio game” works pretty intuitively, and it's deeper than I initially expected. It plays like Punch-Out with stealth and RPG elements. Some combat functions are finicky--blocking, even when inputted early, often lets the first attack of a combo go through, and hunting with a bow demands more precision than I can personally manage with audio alone. But blind combat is otherwise a satisfying (and steep) challenge.

The real star of the show is the dialogue, which feels surprisingly organic and intimate. Tightly written, beautifully voice acted, and weaved into the mechanics, it fits the game like a glove. I don't want to spoil anything other than the fact that the dialogue caught me off-guard.

I love medieval fantasy settings and character-driven stories. The Vale offers both in a way I’ve never seen before. It’s weird, it’s different, and it’s unforgettable. My experience playing The Vale was novel not just because it lacked visuals but also because its characters were intensely human. I highly recommend this game.",TRUE,31,2023-07-07 03:20:18
