Source,Target,Weight,Type
Jogabilidade,Narrativa,115,Undirected
Audio_Espacial,Narrativa,109,Undirected
Audio_Espacial,Combate,77,Undirected
Combate,Narrativa,66,Undirected
Acessibilidade,Acessivel,20,Undirected
Acessibilidade,Audio_Espacial,80,Undirected
Acessibilidade,Jogabilidade,86,Undirected
Acessibilidade,Narrativa,65,Undirected
Acessivel,Audio_Espacial,17,Undirected
Acessivel,Jogabilidade,17,Undirected
Acessivel,Narrativa,14,Undirected
Audio_Espacial,Jogabilidade,124,Undirected
Acessibilidade,Combate,55,Undirected
Acessibilidade,Imersao,24,Undirected
Audio_Espacial,Imersao,26,Undirected
Combate,Imersao,18,Undirected
Combate,Jogabilidade,74,Undirected
Imersao,Jogabilidade,35,Undirected
Imersao,Narrativa,25,Undirected
Acessivel,Combate,14,Undirected
Acessivel,Imersao,4,Undirected
Audio_Espacial,Exploracao,39,Undirected
Combate,Exploracao,27,Undirected
Exploracao,Jogabilidade,38,Undirected
Exploracao,Narrativa,32,Undirected
Acessibilidade,Exploracao,30,Undirected
Acessivel,Exploracao,4,Undirected
Exploracao,Imersao,11,Undirected
